Sentence,Action,Room,Object
grab me some object near the parlor,get,living room,unknown
put away a beverage around the sitting room,store,living room,drink
go near the living room,go,living room,unknown
search for some thing by the living room,find,living room,unknown
look for an item close to the sitting room,find,living room,unknown
find the chips,find,unknown,snack
store the soda close to the pantry,store,kitchen,drink
search for the cookies inside the canteen,find,kitchen,snack
move over by the crackers,go,unknown,snack
pick up a water by the my room,get,bedroom,drink
clear away the water by the bedroom,store,bedroom,drink
bring an object in the bedroom,get,bedroom,unknown
move near the chips close to the canteen,go,kitchen,snack
search for some beverage close to the parlor,find,living room,drink
put back the banana near the living room,store,living room,fruit
identify some cookies,find,unknown,snack
tidy the beverage,store,unknown,drink
drive to the water,go,unknown,drink
proceed near the water around the canteen,go,kitchen,drink
find me the chips close to the bedroom,find,bedroom,snack
find me the chips close to the sitting room,find,living room,snack
drive near the beverage from the my room,go,bedroom,drink
pick up an apple close to the pantry,get,kitchen,fruit
locate some soda by the sitting room,find,living room,drink
find a cookies close to the pantry,find,kitchen,snack
fetch the orange by the my room,get,bedroom,fruit
tidy the beverage close to the bedroom,store,bedroom,drink
drive over to the crackers in the parlor,go,living room,snack
drive over by the soda by the my room,go,bedroom,drink
get me some banana,get,unknown,fruit
move by the cookies,go,unknown,snack
get me the orange by the pantry,get,kitchen,fruit
tidy the cookies close to the my room,store,bedroom,snack
find the chips close to the parlor,find,living room,snack
head by the banana around the canteen,go,kitchen,fruit
identify some item from the parlor,find,living room,unknown
head over to the water near the my room,go,bedroom,drink
identify the thing by the living room,find,living room,unknown
head to the my room,go,bedroom,unknown
fetch some soda inside the sitting room,get,living room,drink
grab me a soda in the canteen,get,kitchen,drink
pick up the crackers,get,unknown,snack
proceed near the canteen,go,kitchen,unknown
bring me the item around the canteen,get,kitchen,unknown
locate the beverage in the bedroom,find,bedroom,drink
clean up a cookies inside the kitchen,store,kitchen,snack
look for an object close to the canteen,find,kitchen,unknown
put away the chips,store,unknown,snack
tidy up the soda,store,unknown,drink
find me some crackers from the bedroom,find,bedroom,snack
grab some soda close to the pantry,get,kitchen,drink
find me a soda by the canteen,find,kitchen,drink
go near the canteen,go,kitchen,unknown
bring me the banana near the sitting room,get,living room,fruit
clean a beverage near the pantry,store,kitchen,drink
proceed over by the sitting room,go,living room,unknown
look for an item inside the pantry,find,kitchen,unknown
locate the object close to the my room,find,bedroom,unknown
get me a banana close to the bedroom,get,bedroom,fruit
go over by the crackers around the canteen,go,kitchen,snack
drive by the orange close to the kitchen,go,kitchen,fruit
place a banana inside the pantry,store,kitchen,fruit
store a cookies close to the my room,store,bedroom,snack
grab the crackers inside the kitchen,get,kitchen,snack
locate an orange inside the kitchen,find,kitchen,fruit
drive near the cookies by the bedroom,go,bedroom,snack
look for the thing near the canteen,find,kitchen,unknown
pick up some beverage,get,unknown,drink
proceed toward the banana by the living room,go,living room,fruit
clear the banana by the canteen,store,kitchen,fruit
find me a water around the my room,find,bedroom,drink
proceed towards the my room,go,bedroom,unknown
place a water,store,unknown,drink
clean the water,store,unknown,drink
bring me the cookies in the my room,get,bedroom,snack
clean up the banana,store,unknown,fruit
go toward the my room,go,bedroom,unknown
tidy up the water by the parlor,store,living room,drink
head towards the crackers near the parlor,go,living room,snack
look for the cookies around the pantry,find,kitchen,snack
bring some thing around the my room,get,bedroom,unknown
get the orange,get,unknown,fruit
head toward the apple by the living room,go,living room,fruit
clean an orange from the living room,store,living room,fruit
retrieve the banana from the pantry,get,kitchen,fruit
head over to the crackers,go,unknown,snack
head toward the cookies,go,unknown,snack
get the object inside the bedroom,get,bedroom,unknown
clear the soda,store,unknown,drink
fetch me a banana in the bedroom,get,bedroom,fruit
grab some item from the parlor,get,living room,unknown
bring the soda around the my room,get,bedroom,drink
search for the item by the sitting room,find,living room,unknown
move over by the apple around the parlor,go,living room,fruit
find some thing by the bedroom,find,bedroom,unknown
locate some soda close to the parlor,find,living room,drink
locate the water,find,unknown,drink
identify the crackers around the sitting room,find,living room,snack
go towards the orange around the pantry,go,kitchen,fruit
take a cookies,store,unknown,snack
go toward the parlor,go,living room,unknown
find me an item in the bedroom,find,bedroom,unknown
head toward the living room,go,living room,unknown
head near the water inside the living room,go,living room,drink
locate the chips from the living room,find,living room,snack
identify some item around the sitting room,find,living room,unknown
find me the water close to the canteen,find,kitchen,drink
clean an object near the kitchen,store,kitchen,unknown
grab some beverage by the canteen,get,kitchen,drink
look for the beverage,find,unknown,drink
bring me the apple close to the pantry,get,kitchen,fruit
find some soda around the kitchen,find,kitchen,drink
grab the object close to the my room,get,bedroom,unknown
go toward the beverage,go,unknown,drink
clear away the crackers around the pantry,store,kitchen,snack
proceed over to the beverage near the sitting room,go,living room,drink
pick up a water inside the pantry,get,kitchen,drink
look for some banana from the my room,find,bedroom,fruit
fetch an apple in the canteen,get,kitchen,fruit
find some cookies near the parlor,find,living room,snack
take the beverage,store,unknown,drink
get the soda near the parlor,get,living room,drink
throw out a beverage,store,unknown,drink
find me the orange,find,unknown,fruit
get me some soda,get,unknown,drink
move over by the apple near the bedroom,go,bedroom,fruit
store an item near the pantry,store,kitchen,unknown
move by the crackers close to the parlor,go,living room,snack
find a cookies inside the sitting room,find,living room,snack
bring some apple near the canteen,get,kitchen,fruit
clear away an apple inside the canteen,store,kitchen,fruit
proceed towards the soda,go,unknown,drink
fetch me some water,get,unknown,drink
get a banana,get,unknown,fruit
throw away a water,store,unknown,drink
retrieve some banana,get,unknown,fruit
tidy the water near the living room,store,living room,drink
get the item in the canteen,get,kitchen,unknown
take the chips,store,unknown,snack
move over to the apple close to the kitchen,go,kitchen,fruit
fetch some orange,get,unknown,fruit
put back the item from the sitting room,store,living room,unknown
move over to the beverage by the parlor,go,living room,drink
tidy the chips,store,unknown,snack
retrieve an apple,get,unknown,fruit
fetch some beverage inside the sitting room,get,living room,drink
move near the cookies around the living room,go,living room,snack
move over by the apple near the my room,go,bedroom,fruit
bring some water near the my room,get,bedroom,drink
search for some beverage from the bedroom,find,bedroom,drink
retrieve some crackers,get,unknown,snack
head by the beverage,go,unknown,drink
get some thing in the pantry,get,kitchen,unknown
bring me the chips close to the pantry,get,kitchen,snack
retrieve some object around the pantry,get,kitchen,unknown
get the orange in the canteen,get,kitchen,fruit
search for the banana around the bedroom,find,bedroom,fruit
search for the item by the sitting room,find,living room,unknown
get an item from the sitting room,get,living room,unknown
find me some chips,find,unknown,snack
proceed near the banana inside the my room,go,bedroom,fruit
fetch the chips by the sitting room,get,living room,snack
tidy up a soda by the parlor,store,living room,drink
go over by the banana close to the kitchen,go,kitchen,fruit
drive near the cookies around the pantry,go,kitchen,snack
retrieve some chips inside the sitting room,get,living room,snack
locate the apple,find,unknown,fruit
place an apple inside the pantry,store,kitchen,fruit
search for an orange inside the bedroom,find,bedroom,fruit
throw out the soda inside the my room,store,bedroom,drink
search for an object close to the parlor,find,living room,unknown
find me an apple by the bedroom,find,bedroom,fruit
clear a cookies by the my room,store,bedroom,snack
drive toward the living room,go,living room,unknown
grab me some cookies,get,unknown,snack
pick up the crackers by the living room,get,living room,snack
find the orange in the canteen,find,kitchen,fruit
go near the water around the living room,go,living room,drink
proceed towards the crackers by the my room,go,bedroom,snack
get me the cookies,get,unknown,snack
identify some beverage by the parlor,find,living room,drink
go near the chips by the living room,go,living room,snack
store the banana inside the pantry,store,kitchen,fruit
drive by the bedroom,go,bedroom,unknown
search for an apple by the sitting room,find,living room,fruit
go to the banana in the living room,go,living room,fruit
search for a soda,find,unknown,drink
search for the apple close to the living room,find,living room,fruit
clean a banana around the my room,store,bedroom,fruit
search for some soda by the canteen,find,kitchen,drink
locate a thing from the bedroom,find,bedroom,unknown
pick up a water in the my room,get,bedroom,drink
find the crackers near the bedroom,find,bedroom,snack
find some apple by the bedroom,find,bedroom,fruit
clear away the chips in the my room,store,bedroom,snack
go over to the water by the sitting room,go,living room,drink
move near the beverage inside the parlor,go,living room,drink
throw away a crackers from the sitting room,store,living room,snack
head to the soda from the kitchen,go,kitchen,drink
clean up a banana in the sitting room,store,living room,fruit
find me a cookies from the bedroom,find,bedroom,snack
bring me the orange from the living room,get,living room,fruit
get the chips inside the sitting room,get,living room,snack
locate the soda from the my room,find,bedroom,drink
identify a banana in the kitchen,find,kitchen,fruit
search for the apple,find,unknown,fruit
fetch the cookies from the bedroom,get,bedroom,snack
find a crackers,find,unknown,snack
pick up a soda around the parlor,get,living room,drink
find the chips,find,unknown,snack
search for some item around the living room,find,living room,unknown
identify the orange around the my room,find,bedroom,fruit
throw away the beverage from the my room,store,bedroom,drink
move towards the apple in the sitting room,go,living room,fruit
find some cookies inside the living room,find,living room,snack
look for a banana close to the sitting room,find,living room,fruit
move over by the chips in the canteen,go,kitchen,snack
move over to the banana by the living room,go,living room,fruit
locate some apple,find,unknown,fruit
go near the apple near the kitchen,go,kitchen,fruit
grab me an item by the canteen,get,kitchen,unknown
move by the orange near the canteen,go,kitchen,fruit
proceed by the chips near the sitting room,go,living room,snack
identify the thing near the bedroom,find,bedroom,unknown
search for the apple from the pantry,find,kitchen,fruit
locate a crackers inside the pantry,find,kitchen,snack
put back the soda in the parlor,store,living room,drink
search for an apple by the pantry,find,kitchen,fruit
bring an apple,get,unknown,fruit
head over to the orange around the kitchen,go,kitchen,fruit
tidy up the orange by the my room,store,bedroom,fruit
go to the kitchen,go,kitchen,unknown
proceed toward the orange in the canteen,go,kitchen,fruit
clean up the cookies close to the living room,store,living room,snack
head to the water close to the sitting room,go,living room,drink
drive toward the apple in the sitting room,go,living room,fruit
clean up the beverage in the pantry,store,kitchen,drink
find some thing inside the canteen,find,kitchen,unknown
locate some chips,find,unknown,snack
grab the crackers close to the kitchen,get,kitchen,snack
retrieve the apple,get,unknown,fruit
bring some item by the bedroom,get,bedroom,unknown
find the thing around the pantry,find,kitchen,unknown
move by the orange close to the bedroom,go,bedroom,fruit
drive toward the soda in the kitchen,go,kitchen,drink
grab some item around the pantry,get,kitchen,unknown
identify some water close to the bedroom,find,bedroom,drink
get me an orange by the canteen,get,kitchen,fruit
look for a banana in the living room,find,living room,fruit
find me some soda,find,unknown,drink
tidy up the beverage close to the my room,store,bedroom,drink
put back the soda around the living room,store,living room,drink
head by the beverage near the kitchen,go,kitchen,drink
pick up an item from the kitchen,get,kitchen,unknown
get me the item around the living room,get,living room,unknown
proceed near the crackers from the my room,go,bedroom,snack
move over by the pantry,go,kitchen,unknown
find some banana in the pantry,find,kitchen,fruit
find me the orange close to the bedroom,find,bedroom,fruit
locate some orange around the bedroom,find,bedroom,fruit
get me some beverage inside the parlor,get,living room,drink
bring me some banana inside the parlor,get,living room,fruit
drive toward the banana around the kitchen,go,kitchen,fruit
take a soda near the bedroom,store,bedroom,drink
tidy a chips from the pantry,store,kitchen,snack
retrieve the apple close to the bedroom,get,bedroom,fruit
tidy an apple by the canteen,store,kitchen,fruit
pick up an object inside the my room,get,bedroom,unknown
locate some object in the sitting room,find,living room,unknown
look for the chips,find,unknown,snack
find me the thing from the kitchen,find,kitchen,unknown
find me a crackers inside the sitting room,find,living room,snack
move by the crackers,go,unknown,snack
place a thing by the canteen,store,kitchen,unknown
retrieve a soda by the living room,get,living room,drink
put away the orange inside the my room,store,bedroom,fruit
find me some crackers from the my room,find,bedroom,snack
find an apple near the bedroom,find,bedroom,fruit
drive near the apple from the kitchen,go,kitchen,fruit
drive towards the pantry,go,kitchen,unknown
throw away a banana close to the my room,store,bedroom,fruit
tidy up the object around the kitchen,store,kitchen,unknown
go near the parlor,go,living room,unknown
drive over by the soda in the bedroom,go,bedroom,drink
bring me the object from the sitting room,get,living room,unknown
proceed towards the beverage near the living room,go,living room,drink
find me the apple near the sitting room,find,living room,fruit
clean up the soda from the my room,store,bedroom,drink
drive towards the chips,go,unknown,snack
go by the cookies close to the pantry,go,kitchen,snack
grab some crackers close to the canteen,get,kitchen,snack
get a crackers in the parlor,get,living room,snack
pick up an object by the living room,get,living room,unknown
get me the water,get,unknown,drink
look for a chips,find,unknown,snack
grab me some object by the my room,get,bedroom,unknown
tidy up a cookies inside the parlor,store,living room,snack
pick up a crackers in the kitchen,get,kitchen,snack
move by the water by the kitchen,go,kitchen,drink
fetch me a water by the my room,get,bedroom,drink
bring me some soda,get,unknown,drink
find me some item in the pantry,find,kitchen,unknown
proceed to the apple inside the bedroom,go,bedroom,fruit
go to the banana,go,unknown,fruit
locate the cookies,find,unknown,snack
take a cookies from the bedroom,store,bedroom,snack
put away the soda,store,unknown,drink
look for the beverage near the my room,find,bedroom,drink
search for a chips near the sitting room,find,living room,snack
place the item inside the sitting room,store,living room,unknown
move towards the beverage near the parlor,go,living room,drink
get an orange,get,unknown,fruit
bring me the banana near the living room,get,living room,fruit
find me a cookies in the sitting room,find,living room,snack
put back a thing in the canteen,store,kitchen,unknown
find me an item near the parlor,find,living room,unknown
go near the chips,go,unknown,snack
bring a beverage close to the pantry,get,kitchen,drink
throw away a banana by the pantry,store,kitchen,fruit
